package	symbol-name	home-package	kind	arglist-if-publicly-documented	arglist-observed-in-image	docstring-present	shared-print-name-with-other-provider	shared-print-name-is-EQ-identity	cross-application-to-foreign-provider-object	observed-value-if-nullary-declaration	role	notes
LISP-PLUS-SURFACE2	DERIVE-SEAT-OUTCOME	LISP-PLUS-SURFACE2	function	(STORE EVENTS SEAT-ID &KEY (NAMESPACE "vertical-event"))	(STORE EVENTS SEAT-ID &KEY (NAMESPACE "vertical-event"))	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	other	no additional observation
LISP-PLUS-SURFACE2	ENCODE-TERM2	LISP-PLUS-SURFACE2	function	(FORM)	(FORM)	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	codec	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-CONDITION-REFUSAL	LISP-PLUS-SURFACE2	generic-function	unavailable-no-public-docstring	(CONDITION)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	not-tested-not-a-one-argument-reader	not-a-nullary-declaration	other	Generic function in BOTH providers (the only two generic functions in either package). Condition types are disjoint: an S2 refusal is NOT caught by a handler for LISP-PLUS-SURFACE1:EXPANSION-REFUSED (measured).
LISP-PLUS-SURFACE2	EXPANSION-OCCURRENCE-DISPOSITION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	occurrence reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-OCCURRENCE-EXPANDED-FORM-DATUM	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	occurrence reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-OCCURRENCE-EXPANDED-FORM-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	occurrence reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-OCCURRENCE-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	occurrence reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-OCCURRENCE-OCCURRENCE-TAG	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	occurrence reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-OCCURRENCE-P	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL::OBJECT)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-returns-NIL(predicate-correctly-negative)	not-a-nullary-declaration	occurrence reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-OCCURRENCE-REQUEST-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	occurrence reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-CONSTRUCT-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-DISPOSITION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	VALUE DOMAINS DIFFER: S1 measured :MACROEXPANDED-ONE-STEP (keyword); S2 measured "expanded-once" (string). Same print-name, different value type.
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-EXPANDED-FORM-DATUM	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-EXPANDED-FORM-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-EXPANSION-CONTEXT	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-GRAMMAR-VERSION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-OCCURRENCE	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-OCCURRENCE-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-OPERATION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-P	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL::OBJECT)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-returns-NIL(predicate-correctly-negative)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-POLICY-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(R)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED(%IDENTIFIER-DATUM)	not-a-nullary-declaration	receipt reader	TRAP. Source: surface1.lisp:1075-1076 / surface2.lisp:788-789 -- (declare (ignore r)); returns the LIVE provider declaration. Measured: returns a value for NIL, 42 and a string. NOT receipt-stored.
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-POLICY-VERSION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-PROCEDURE-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(R)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED(%IDENTIFIER-DATUM)	not-a-nullary-declaration	receipt reader	TRAP. Source: surface1.lisp:1073-1074 / surface2.lisp:786-787 -- (declare (ignore r)); returns the LIVE provider declaration. Measured: returns a value for NIL, 42 and a string. NOT receipt-stored.
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-PROCEDURE-VERSION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-REQUEST-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-SOURCE-FORM-DATUM	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-RECEIPT-SOURCE-FORM-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REFUSAL-CATEGORY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REFUSAL-CODE	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REFUSAL-DETAIL	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REFUSAL-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REFUSAL-OCCURRENCE-TAG	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REFUSAL-P	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL::OBJECT)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-returns-NIL(predicate-correctly-negative)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REFUSAL-PHASE	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REQUEST-CONSTRUCT-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REQUEST-GRAMMAR-VERSION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REQUEST-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REQUEST-OCCURRENCE-TAG	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REQUEST-OPERATION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REQUEST-P	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL::OBJECT)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-returns-NIL(predicate-correctly-negative)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REQUEST-POLICY-VERSION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REQUEST-PROCEDURE-VERSION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REQUEST-SOURCE-FORM-DATUM	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE2	EXPANSION-REQUEST-SOURCE-FORM-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE2	IDENTITY-OCTETS	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(IDENTITY)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED((INTEGER 0 4611686018427387903))	not-a-nullary-declaration	identity utility (CD/0 delegate)	Delegates to CD/0 (octets-length of canonical-octets); provider-agnostic, returns an INTEGER count, not a vector. Cross-provider application silently succeeds.
LISP-PLUS-SURFACE2	KNOWN-SURFACE2-CONSTRUCTS	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	(("LISP-PLUS-SURFACE2" "WITH-OUTCOME") ("LISP-PLUS-SURFACE2" "MATCH-OUTCOME"))	declaration	no additional observation
LISP-PLUS-SURFACE2	MATCH-OUTCOME	LISP-PLUS-SURFACE2	macro	(VAR &BODY CLAUSES)	(VAR &BODY CLAUSES)	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	macro head (Surface /2-owned)	no additional observation
LISP-PLUS-SURFACE2	PERFORM-EXPANSION	LISP-PLUS-SURFACE2	function	(REQUEST)	(REQUEST)	yes	yes	no -- 0 of 54 shared print-names are EQ (measured)	not-tested-not-a-one-argument-reader	not-a-nullary-declaration	door (expansion action)	no additional observation
LISP-PLUS-SURFACE2	REFUSAL-CATALOG-ENTRY-CLASS	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(E)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED(KEYWORD)	not-a-nullary-declaration	catalog-entry reader (untyped list)	Untyped positional list accessor (second e); surface1.lisp:302 / surface2.lisp:453. Cross-provider application silently succeeds.
LISP-PLUS-SURFACE2	REFUSAL-CATALOG-ENTRY-CODE	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(E)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED(KEYWORD)	not-a-nullary-declaration	catalog-entry reader (untyped list)	Untyped positional list accessor (first e); surface1.lisp:301 / surface2.lisp:452. Cross-provider application silently succeeds.
LISP-PLUS-SURFACE2	REFUSAL-CATALOG-ENTRY-NOTE	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(E)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED((SIMPLE-ARRAY CHARACTER (62)))	not-a-nullary-declaration	catalog-entry reader (untyped list)	Untyped positional list accessor (fifth e); surface1.lisp:305 / surface2.lisp:456. Cross-provider application silently succeeds.
LISP-PLUS-SURFACE2	REFUSAL-CATALOG-ENTRY-PHASE	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(E)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED(KEYWORD)	not-a-nullary-declaration	catalog-entry reader (untyped list)	Untyped positional list accessor (third e); surface1.lisp:303 / surface2.lisp:454. Cross-provider application silently succeeds.
LISP-PLUS-SURFACE2	REFUSAL-CATALOG-ENTRY-REACHABILITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(E)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED(KEYWORD)	not-a-nullary-declaration	catalog-entry reader (untyped list)	Untyped positional list accessor (fourth e); surface1.lisp:304 / surface2.lisp:455. Cross-provider application silently succeeds.
LISP-PLUS-SURFACE2	REFUSAL-DESCRIPTION-CONDITION-NAME	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	refusal-description reader	no additional observation
LISP-PLUS-SURFACE2	REFUSAL-DESCRIPTION-EXPLANATION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	refusal-description reader	no additional observation
LISP-PLUS-SURFACE2	REFUSAL-DESCRIPTION-P	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL::OBJECT)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	refusal-description reader	no additional observation
LISP-PLUS-SURFACE2	RENDER-IDENTITY-HEX	LISP-PLUS-SURFACE2	function	(IDENTITY)	(IDENTITY)	yes	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED((SIMPLE-ARRAY CHARACTER (7540)))	not-a-nullary-declaration	identity utility (CD/0 delegate)	Provider source marks it DIAGNOSTIC ONLY -- never compared, never a content address. Delegates to CD/0; cross-provider application silently succeeds.
LISP-PLUS-SURFACE2	REQUEST-EXPANSION	LISP-PLUS-SURFACE2	function	(SOURCE-FORM OPERATION OCCURRENCE-TAG)	(SOURCE-FORM OPERATION OCCURRENCE-TAG)	yes	yes	no -- 0 of 54 shared print-names are EQ (measured)	not-tested-not-a-one-argument-reader	not-a-nullary-declaration	door (expansion action)	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME	LISP-PLUS-SURFACE2	struct-class	unavailable-no-public-docstring	unavailable	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	Surface /2 ONLY. The only exported struct CLASS NAME in either package; S1 exports predicates/accessors but no struct type name.
LISP-PLUS-SURFACE2	SEAT-OUTCOME-ATTEMPT-NAME	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(O)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-CHUNKS-PRESERVED	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(O)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-EFFECT	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(O)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-EVIDENCE-CLASS	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(O)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-EXECUTION-EVIDENCE	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(O)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-EXECUTION-STANDING	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(O)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-FIELD-STANDING	LISP-PLUS-SURFACE2	function	(OUTCOME FACET)	(OUTCOME FACET)	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-INTERPRETATION-CLASS	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(O)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-MANIFESTATION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(O)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-NO-PAYLOAD-STATE	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(O)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-P	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(SB-KERNEL::OBJECT)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-PROVENANCE	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(O)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-REFUSAL	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(O)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-SEAT-ID	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(O)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SEAT-OUTCOME-SOURCE-EVENTS	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	(O)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	seat-outcome type/reader	no additional observation
LISP-PLUS-SURFACE2	SIGNAL-MATCH-GUARD	LISP-PLUS-SURFACE2	function	(CODE &KEY DETAIL)	(CODE &KEY DETAIL)	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	other	no additional observation
LISP-PLUS-SURFACE2	SURFACE2-CONSTRUCT-IDENTITY-FOR	LISP-PLUS-SURFACE2	function	(PACKAGE-NAME SYMBOL-NAME)	(PACKAGE-NAME SYMBOL-NAME)	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	other	no additional observation
LISP-PLUS-SURFACE2	SURFACE2-EXPANSION-OPERATIONS	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	(:MACROEXPAND-1 :MACROEXPAND)	declaration	no additional observation
LISP-PLUS-SURFACE2	SURFACE2-EXPANSION-REFUSED	LISP-PLUS-SURFACE2	condition-type	unavailable-no-public-docstring	unavailable	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	other	Surface /2 condition type. Measured (subtypep S2-refused S1-refused) = NIL: the two refusal condition hierarchies are disjoint.
LISP-PLUS-SURFACE2	SURFACE2-FORBIDDEN-VOCABULARY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	("repair" "repaired" "preserved" "preserving" "equivalent" "equivalence" "normalized" "normalization" "corrected" "correct" "improved" "valid" "hygienic" "hygiene" "capture-free" "same-meaning" "behaviour-preserving" "semantically-equivalent" "faithful" "portable" "verified" "sound")	declaration	no additional observation
LISP-PLUS-SURFACE2	SURFACE2-GRAMMAR-IDENTITY	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	"4c504344002202126c6973702d706c75732d7375726661636532076772616d6d617202057465726d320130"	declaration	no additional observation
LISP-PLUS-SURFACE2	SURFACE2-GRAMMAR-VERSION	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	3	declaration	no additional observation
LISP-PLUS-SURFACE2	SURFACE2-INTEGRITY-ALARM-CODES	LISP-PLUS-SURFACE2	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	(:RECEIPT-NOT-MINTED :SOURCE-IDENTITY-PROJECTION-MISMATCH :EXPANDED-IDENTITY-PROJECTION-MISMATCH :PROJECTION-WITHOUT-SETTLED-EXECUTION :NO-EVIDENCE-CLASS)	declaration	no additional observation
LISP-PLUS-SURFACE2	SURFACE2-NOT-AN-OUTCOME	LISP-PLUS-SURFACE2	condition-type	unavailable	unavailable	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	other	Surface /2 condition type; measured a SUBTYPE of SURFACE2-EXPANSION-REFUSED.
